STT,MaSo,Thuoc,dvt,dongia,tondauky_sl,tondauky_thanhtien,nhaptrongky_sl,nhaptrongky_thanhtien,xuattrongky_sl,xuattrongky_thanhtien,toncuoiky_sl,toncuoiky_thanhtien,thang,nam,hoatchat_dvt
475,TRAC01,"Tracutil  [Sắt clorid + kẽm clorid+ mangan clorid+ đồng clorid + crôm clorid+ natri molypdat dihydrat+ natri selenid pentahydrat+ natri fluorid + kali iodid](Lô:),Date 090422)'HSX:B.Braun Melsungen AG' 'NSX:Đức",Ống,32231.87,19,612405.45,0,0,19,612405.45,0,0,3,2019,
476,TRAC01,"Tracutil  [Sắt clorid + kẽm clorid+ mangan clorid+ đồng clorid + crôm clorid+ natri molypdat dihydrat+ natri selenid pentahydrat+ natri fluorid + kali iodid](Lô:17482035),Date 011122)'HSX:B.Braun Melsungen AG' 'NSX:Đức",Ống,32235,100,3223500,0,0,65,2095275,35,1128225,3,2019,
477,TRAC01,"Tracutil  [Sắt clorid + kẽm clorid+ mangan clorid+ đồng clorid + crôm clorid+ natri molypdat dihydrat+ natri selenid pentahydrat+ natri fluorid + kali iodid](Lô:17482035),Date 011222)'HSX:B.Braun Melsungen AG' 'NSX:Đức",Ống,32235,100,3223500,0,0,0,0,100,3223500,3,2019,
478,TRAC01,"Tracutil  [Sắt clorid + kẽm clorid+ mangan clorid+ đồng clorid + crôm clorid+ natri molypdat dihydrat+ natri selenid pentahydrat+ natri fluorid + kali iodid](Lô:18155035),Date 010423)'HSX:B.Braun Melsungen AG' 'NSX:Đức",Ống,32235,100,3223500,0,0,0,0,100,3223500,3,2019,
479,TRAM01,"Tramadol Rotexmedica 100mg/2ml [Tramadol](Lô:80611),Date 220321)'HSX:Rotexmedica GmbH Arzneimittel werk' 'NSX:Đức",Ống,13799.99,591,8155796.06,0,0,3,41399.98,588,8114396.08,3,2019,
480,TRA002,"Tramadol-hameln 50mg/ml [Tramadol](Lô:803055),Date 010121)'HSX:Hameln Pharmaceuticals GmbH' 'NSX:Germany",ống,13965.32,146,2038936.04,0,0,9,125687.84,137,1913248.2,3,2019,
481,TRIF01,"Trifungi 100mg [Itraconazol](Lô:070918),Date 110921)'HSX:Công ty cổ phần Pymepharco' 'NSX:Việt Nam",Viên,7450,171,1273950,0,0,171,1273950,0,0,3,2019,
482,TYG0011,"Tygacil IV Infusion* 50mg [Tigecyclin*](Lô:),Date 010719)'HSX:Wyeth Lederle S.r.l.' 'NSX:Italy",lọ,731000,25,18275000,0,0,0,0,25,18275000,3,2019,
483,TYG0011,"Tygacil IV Infusion* 50mg [Tigecyclin*](Lô:AKW8/17),Date 011219)'HSX:Wyeth Lederle S.r.l.' 'NSX:Italy",lọ,731000,50,36550000,0,0,0,0,50,36550000,3,2019,
484,TYG0012,"Ultracet 37,5mg + 325mg [Paracetamol (acetaminophen) + Tramadol](Lô:21084B),Date 080321)'HSX:Janssen Korea Ltd.' 'NSX:Korea",viên,7998.97,2991,23924919.27,0,0,904,7231068.88,2087,16693850.39,3,2019,
485,TYG0012,"Ultracet 37,5mg + 325mg [Paracetamol (acetaminophen) + Tramadol](Lô:21527A),Date 041021)'HSX:Janssen Korea Ltd.' 'NSX:Korea",viên,7998.97,3000,23996910,3000,23996910,0,0,6000,47993820,3,2019,
486,UNI001,"Unitrexates 2,5mg [Methotrexat](Lô:),Date 040920)'HSX:Korea United Pharm. Inc.' 'NSX:Korea",viên,2200,4,8800,0,0,0,0,4,8800,3,2019,"methotrexat_2,5mg_vien"
487,UNIT01,"Unitrexates 2,5mg [Methotrexat](Lô:E736816),Date 030721)'HSX:Korea United Pharm. Inc.' 'NSX:Korea",Viên,2200,2967,6527400,0,0,2967,6527400,0,0,3,2019,"methotrexat_2,5mg_vien"
488,UNIT01,"Unitrexates 2,5mg [Methotrexat](Lô:E736817),Date 040721)'HSX:Korea United Pharm. Inc.' 'NSX:Korea",Viên,2200,10000,22000000,0,0,2992,6582400,7008,15417600,3,2019,"methotrexat_2,5mg_vien"
489,UROM01,"Uromitexan 400mg/4ml [Mesna](Lô:8G428G),Date 310723)'HSX:Baxter Oncology GmbH' 'NSX:Đức",Ống,36242.99,300,10872897,0,0,0,0,300,10872897,3,2019,
490,UROM01,"Uromitexan 400mg/4ml [Mesna](Lô:8H429A),Date 310823)'HSX:Baxter Oncology GmbH' 'NSX:Đức",Ống,36242.99,0,0,300,10872897,0,0,300,10872897,3,2019,
491,UROM01,"Uromitexan 400mg/4ml [Mesna](Lô:8H429A),Date 310823)'HSX:Baxter Oncology GmbH' 'NSX:Đức",Ống,36243,45,1630935,0,0,0,0,45,1630935,3,2019,
492,UROM01,"Uromitexan 400mg/4ml [Mesna](Lô:BC402A),Date 310323)'HSX:Baxter Oncology GmbH' 'NSX:Đức",Ống,36242.99,367,13301176.78,0,0,284,10293008.74,83,3008168.05,3,2019,
493,VALC01,"Valcyte* 450mg [Valganciclovir*](Lô:N0380B03),Date 311020)'HSX:Patheon Inc.' 'NSX:Canada",Viên,612263,0,0,60,36735780,36,22041468,24,14694312,3,2019,
494,VANC02,"Vancomycin Hydrochloride for Infusion 1g [Vancomycin*](Lô:2983231),Date 310521)'HSX:Xellia Pharmaceuticals APS' 'NSX:Đan Mạch",Lọ,94800,450,42660000,1280,121344000,557,52803600,1173,111200400,3,2019,
495,VAS001,"Vaseline Pure 10g [Vaseline](Lô:16005),Date 131019)'HSX:OPC' 'NSX:Việt Nam",tube,8685.6,22,191083.2,0,0,0,0,22,191083.2,3,2019,
496,VAS002.,"Vaslor 10mg [Atorvastatin](Lô:17006),Date 271220)'HSX:Công ty TNHH dược phẩm Đạt Vi Phú' 'NSX:Việt Nam",viên,174.99,3,524.97,0,0,0,0,3,524.97,3,2019,
497,VASL01,"Vaslor 10mg [Atorvastatin](Lô:18008),Date 081121)'HSX:Công ty cổ phần dược phẩm Đạt Vi Phú' 'NSX:Việt Nam",Viên,174.99,661,115670.09,0,0,353,61772.38,308,53897.71,3,2019,
498,VEL0022,"Velcade 3,5mg [Bortezomib](Lô:ICZTM00),Date 130321)'HSX:Pierre Fabre Medicament production (PFMP)' 'NSX:France",lọ,21420849.45,0,0,17,364154440.65,0,0,17,364154440.65,3,2019,"bortezomib_3,5mg_lo"
499,VEL0022,"Velcade 3,5mg [Bortezomib](Lô:ICZTM00),Date 130321)'HSX:Pierre Fabre Medicament production (PFMP)' 'NSX:France",lọ,22909999.34,70,1603699954,0,0,0,0,70,1603699954,3,2019,"bortezomib_3,5mg_lo"
500,VEL0022,"Velcade 3,5mg [Bortezomib](Lô:ICZTM00),Date 130321)'HSX:Pierre Fabre Medicament production (PFMP)' 'NSX:France",lọ,22909999.35,29,664389981.15,0,0,29,664389981.15,0,0,3,2019,"bortezomib_3,5mg_lo"
501,VEL0022,"Velcade 3,5mg [Bortezomib](Lô:ICZTM00),Date 130321)'HSX:Pierre Fabre Medicament production (PFMP)' 'NSX:France",lọ,22909999.37,30,687299981,0,0,8,183279994.93,22,504019986.07,3,2019,"bortezomib_3,5mg_lo"
502,VEL0022,"Velcade 3,5mg [Bortezomib](Lô:ICZTN00),Date 200321)'HSX:Pierre Fabre Medicament production (PFMP)' 'NSX:France",lọ,21420849.45,0,0,143,3063181471.35,0,0,143,3063181471.35,3,2019,"bortezomib_3,5mg_lo"
503,VEL0021,"Velcade Bortezomib 3,5mg [Bortezomib](Lô:),Date 151119)'HSX:Pierre Fabre Medicament production (PFMP)' 'NSX:Pháp",lọ,22909999.35,24,549839984.4,0,0,24,549839984.4,0,0,3,2019,"bortezomib_3,5mg_lo"
504,VEL001,"Ventolin Inhaler 100mcg/liều xịt [Salbutamol (sulfat)](Lô:B54P),Date 010520)'HSX:Glaxo Wellcome S.A' 'NSX:Spain",bình,76379,2,152758,0,0,0,0,2,152758,3,2019,
505,VEL001,"Ventolin Inhaler 100mcg/liều xịt [Salbutamol (sulfat)](Lô:GU4H),Date 010620)'HSX:Glaxo Wellcome S.A' 'NSX:Spain",bình,76378.93,7,534652.5,0,0,6,458273.57,1,76378.93,3,2019,
506,VEL001,"Ventolin Inhaler 100mcg/liều xịt [Salbutamol (sulfat)](Lô:GU4H),Date 010620)'HSX:Glaxo Wellcome S.A' 'NSX:Spain",bình,76379,1,76379,0,0,1,76379,0,0,3,2019,
507,VEN003,"Ventolin Nebules 2,5mg/2,5ml Salbutamol [Salbutamol (sulfat)](Lô:),Date 010320)'HSX:GlaxoSmithKline Australia Pty., Ltd.' 'NSX:Úc",ống,4575,35,160125,0,0,4,18300,31,141825,3,2019,
508,VEN002,"Ventolin Nebules 2,5mg/2,5ml Salbutamol [Salbutamol (sulfat)](Lô:),Date 010720)'HSX:GlaxoSmithKline Australia Pty., Ltd.' 'NSX:Australia",ống,4575,106,484949.93,0,0,59,269924.96,47,215024.97,3,2019,
509,VEN002,"Ventolin Nebules 2,5mg/2,5ml Salbutamol [Salbutamol (sulfat)](Lô:FV0616),Date 010821)'HSX:GlaxoSmithKline Australia Pty., Ltd.' 'NSX:Australia",ống,4575,90,411750,0,0,0,0,90,411750,3,2019,
510,VEN002,"Ventolin Nebules 2,5mg/2,5ml Salbutamol [Salbutamol (sulfat)](Lô:FV0619),Date 011021)'HSX:GlaxoSmithKline Australia Pty., Ltd.' 'NSX:Australia",ống,4575,360,1646999.5,0,0,0,0,360,1646999.5,3,2019,
511,VERO01,"Verospiron 25mg [Spironolacton](Lô:T81013A),Date 060121)'HSX:Gedeon Richter Plc.' 'NSX:Hungary",Viên,1785,3000,5355000,0,0,0,0,3000,5355000,3,2019,spironolacton_25_vien
512,VESA01,"Vesanoid 10mg [Tretinoin](Lô:C0016-1C1),Date 301120)'HSX:R.P Scherer GmbH' 'NSX:Germany",Viên,48537.99,0,0,1000,48537994,373,18104671.76,627,30433322.24,3,2019,
513,VINC01,"Vincran 1mg/1ml [Vincristin (sulfat)](Lô:E749A811),Date 011220)'HSX:Korea United Pharm. Inc.' 'NSX:Korea",Lọ,91999.99,1308,120335989.73,0,0,579,53267995.5,729,67067994.23,3,2019,
514,VINC01,"Vincran 1mg/1ml [Vincristin (sulfat)](Lô:E749A813),Date 011220)'HSX:Korea United Pharm. Inc.' 'NSX:Korea",Lọ,91999.98,0,0,60,5519999,0,0,60,5519999,3,2019,
515,VIN005,"Vinphyton 10mg [Phytomenadion (vitamin K1)](Lô:030618),Date 120621)'HSX:Công ty cổ phần dược phẩm Vĩnh Phúc' 'NSX:Việt Nam",ống,2205,856,1887480,0,0,129,284445,727,1603035,3,2019,
516,VITA03,"Vitamin C 500mg [Vitamin C](Lô:0419),Date 230221)'HSX:Công ty cổ phần Dược  S. Pharm' 'NSX:Việt Nam",Viên,195,0,0,10000,1949955,0,0,10000,1949955,3,2019,
517,VITA03,"Vitamin C 500mg [Vitamin C](Lô:1618),Date 200720)'HSX:Công ty cổ phần Dược  S. Pharm' 'NSX:Việt Nam",Viên,195,16,3119.93,0,0,16,3119.93,0,0,3,2019,
518,VITA03,"Vitamin C 500mg [Vitamin C](Lô:1818),Date 311220)'HSX:Công ty cổ phần Dược  S. Pharm' 'NSX:Việt Nam",Viên,195,5000,974977.5,0,0,4449,867534.98,551,107442.52,3,2019,
519,VITA02,"Vitamin PP 500mg [Vitamin PP ](Lô:0818),Date 250720)'HSX:Công ty cổ phần Dược  S. Pharm' 'NSX:Việt Nam",Viên,174.99,714,124945,0,0,714,124945,0,0,3,2019,
520,VITA02,"Vitamin PP 500mg [Vitamin PP ](Lô:0918),Date 300720)'HSX:Công ty cổ phần Dược  S. Pharm' 'NSX:Việt Nam",Viên,174.99,2000,349986,0,0,50,8749.65,1950,341236.35,3,2019,
521,VITA02,"Vitamin PP 500mg [Vitamin PP ](Lô:1118),Date 261221)'HSX:Công ty cổ phần Dược  S. Pharm' 'NSX:Việt Nam",Viên,174.99,2000,349986,0,0,0,0,2000,349986,3,2019,
522,WEDE02,"Wedes 50mg [Azathioprin](Lô:),Date 061120)'HSX:Công ty cổ phần dược phẩm Đạt Vi Phú' 'NSX:Việt Nam",Viên,7000,910,6370000,0,0,331,2317000,579,4053000,3,2019,
523,ZARZ01,"Zarzio 0,3mg/0,5ml [Filgrastim](Lô:JK6261),Date 010421)'HSX:IDT Biologika GmbH' 'NSX:Đức",Bơm tiêm,545000,63,34334999.79,0,0,63,34334999.79,0,0,3,2019,
524,ZARZ01,"Zarzio 0,3mg/0,5ml [Filgrastim](Lô:JK6261),Date 010421)'HSX:IDT Biologika GmbH' 'NSX:Đức",Bơm tiêm,545000,200,109000000,0,0,200,109000000,0,0,3,2019,
525,ZED0013,"Zentel 200mg [Albendazol](Lô:090718),Date 010721)'HSX:OPV' 'NSX:Việt Nam",viên,5600,209,1170399.3,300,1679999,144,806399.52,365,2043998.78,3,2019,
526,ZED0013,"Zentel 200mg [Albendazol](Lô:100718),Date 010721)'HSX:OPV' 'NSX:Việt Nam",viên,5600,200,1119999,0,0,0,0,200,1119999,3,2019,
527,ZINN02,"Zinnat tablets 250mg [Cefuroxim](Lô:P62N),Date 010321)'HSX:Glaxo Operations UK Ltd.' 'NSX:Anh",Viên,13166,151,1988066,0,0,0,0,151,1988066,3,2019,
528,ZINN02,"Zinnat tablets 250mg [Cefuroxim](Lô:SA2W),Date 010421)'HSX:Glaxo Operations UK Ltd.' 'NSX:Anh",Viên,13166,1000,13165999,0,0,0,0,1000,13165999,3,2019,
529,ZINN01,"Zinnat tablets 500mg [Cefuroxim](Lô:5E7E),Date 010621)'HSX:Glaxo Operations UK Ltd.' 'NSX:Anh",Viên,24589,290,7130810,0,0,0,0,290,7130810,3,2019,
530,ZINN01,"Zinnat tablets 500mg [Cefuroxim](Lô:8Y6M),Date 010821)'HSX:Glaxo Operations UK Ltd.' 'NSX:Anh",Viên,24589,210,5163690,0,0,0,0,210,5163690,3,2019,
531,ZINN01,"Zinnat tablets 500mg [Cefuroxim](Lô:JB4J),Date 010821)'HSX:Glaxo Operations UK Ltd.' 'NSX:Anh",Viên,22130,200,4426000,0,0,0,0,200,4426000,3,2019,
532,ZINN01,"Zinnat tablets 500mg [Cefuroxim](Lô:VR3U),Date 010521)'HSX:Glaxo Operations UK Ltd.' 'NSX:Anh",Viên,24589,130,3196570,0,0,63,1549107,67,1647463,3,2019,
533,ZITR01,"Zitromax 200mg/5ml [Azithromycin](Lô:707400),Date 010220)'HSX:Haupt Pharma Latina Srl' 'NSX:Italy",Lọ,115988,19,2203772,0,0,3,347964,16,1855808,3,2019,
534,ZITR02,"Zitromax 500mg [Azithromycin](Lô:709501),Date 010520)'HSX:Haupt Pharma Latina S.r.l' 'NSX:Ý",Viên,89820,94,8443080,0,0,6,538920,88,7904160,3,2019,
535,ZOM0013,"Zometa 4mg/100ml [Zoledronic acid](Lô:SFU72),Date 010520)'HSX:Novartis Pharma Stein AG' 'NSX:Switzerland",chai,6465881.99,49,316828217.51,0,0,37,239237633.63,12,77590583.88,3,2019,
536,ZOM0013,"Zometa 4mg/100ml [Zoledronic acid](Lô:SFU72),Date 010520)'HSX:Novartis Pharma Stein AG' 'NSX:Switzerland",chai,6465882,70,452611740,0,0,8,51727056,62,400884684,3,2019,
1,AIR001,"Airway (Lô:10052017),Date 010522)'HSX:Greatmed' 'NSX:CHINA",cái,3675,86,316050,0,0,8,29400,78,286650,3,2019,
2,BAN002,"Băng cuộn 0.07 x 2.5m (Lô:),Date )'HSX:Bảo Thạch' 'NSX:Việt Nam",cuộn,1417.5,1398,1981665,0,0,18,25515,1380,1956150,3,2019,
3,BAN003,"Băng dính cuộn (2,5cm x 9.10m) (Lô:2022-07W3G),Date 010722)'HSX:3M Health care' 'NSX:CHINA",cuộn,12400,0,0,240,2976000,0,0,240,2976000,3,2019,
4,BAN003,"Băng dính cuộn (2,5cm x 9.10m) (Lô:2205-FD8A),Date 010522)'HSX:3M Health care' 'NSX:CHINA",cuộn,12400,320,3968000,0,0,247,3062800,73,905200,3,2019,
5,BAN003,"Băng dính cuộn (2,5cm x 9.10m) (Lô:2206-AB8AG),Date 010622)'HSX:3M Health care' 'NSX:CHINA",cuộn,12400,0,0,120,1488000,0,0,120,1488000,3,2019,
6,BANG01,"Băng keo cá nhân trong suốt (Lô:VPVCT180401),Date 011122)'HSX:Young Chemical' 'NSX:Việt Nam",Miếng,235,23062,5419570,12000,2820000,13626,3202110,21436,5037460,3,2019,
7,BAN005,"Băng keo vô trùng có gạc 100 x 90 mm (Lô:),Date 090922)'HSX:Young Chemical' 'NSX:Korea",miếng,3000,14583,43749000,0,0,896,2688000,13687,41061000,3,2019,
8,BAO001,"Bao Camera Nội soi (Lô:),Date )'HSX:Thời Thanh Bình' 'NSX:Việt Nam",cái,6825,507,3460275,0,0,12,81900,495,3378375,3,2019,
9,BOD001,"Bộ dây thở oxy trẻ em 2 bẫy nước (Lô:),Date )'HSX:Besmed' 'NSX:Đài Loan",bộ,146475,2,292950,0,0,1,146475,1,146475,3,2019,
10,BOD002,"Bộ dây truyền dịch MPV  [Dây dẫn, dây truyền dịch các loại, các cỡ (bao gồm cả chạc nối, ống nối đi kèm)](Lô:),Date )'HSX:Công ty cổ phần nhựa Y tế Việt Nam' 'NSX:Việt Nam",bộ,3596,247,888212,0,0,68,244528,179,643684,3,2019,
11,BODI01,"Bộ điều chỉnh lượng dịch truyền các ống thông_DF300M (Lô:18F21-T),Date 210523)'HSX:Cair LGL' 'NSX:Pháp",bộ,41000,399,16359000,400,16400000,630,25830000,169,6929000,3,2019,
12,BOD004,"Bộ dụng cụ y tế* (Lô:),Date )'HSX:Viên Phát' 'NSX:Việt Nam",bộ,22732.99,400,9093197,0,0,214,4864860.4,186,4228336.61,3,2019,
13,BOD004,"Bộ dụng cụ y tế* (Lô:),Date )'HSX:Viên Phát' 'NSX:Việt Nam",bộ,22732.99,434,9866119.29,0,0,34,772921.79,400,9093197.5,3,2019,
14,BOH001,"Bộ hút đàm kín các số (10_12_14_16) (Lô:),Date )'HSX:Mednet GmBh' 'NSX:Germany",bộ,18900,24,453600,0,0,0,0,24,453600,3,2019,
15,BỌ001,"Bộ khăn đặt ống sonde tĩnh mạch Trung ương (Lô:181226),Date 251221)'HSX:Thời Thanh Bình' 'NSX:Việt Nam",cái,84000,10,840000,0,0,4,336000,6,504000,3,2019,
16,BỌ001,"Bộ khăn đặt ống sonde tĩnh mạch Trung ương (Lô:181226),Date 261221)'HSX:Thời Thanh Bình' 'NSX:Việt Nam",cái,84000,8,672000,0,0,8,672000,0,0,3,2019,
17,BỌ001,"Bộ khăn đặt ống sonde tĩnh mạch Trung ương (Lô:190125),Date 250122)'HSX:Thời Thanh Bình' 'NSX:Việt Nam",cái,84000,10,840000,0,0,0,0,10,840000,3,2019,
18,BỌ001,"Bộ khăn đặt ống sonde tĩnh mạch Trung ương (Lô:190313),Date 130322)'HSX:Thời Thanh Bình' 'NSX:Việt Nam",cái,84000,0,0,10,840000,0,0,10,840000,3,2019,
19,BOK001,"Bộ khăn tiểu phẫu (Lô:),Date )'HSX:Không xác định' 'NSX:Việt Nam",bộ,199500,3,598500,0,0,0,0,3,598500,3,2019,
20,BOKI03,"Bộ kit gạn bạch cầu, tiểu cầu Spectra Optia  [Bộ kít tách bạch cầu, tách tiểu cầu, tách huyết tương các loại, các cỡ](Lô:1802143130),Date 010220)'HSX:Terumo BCT' 'NSX:Mỹ",Bộ,5500000,7,38500000,0,0,2,11000000,5,27500000,3,2019,
21,BOKI03,"Bộ kit gạn bạch cầu, tiểu cầu Spectra Optia  [Bộ kít tách bạch cầu, tách tiểu cầu, tách huyết tương các loại, các cỡ](Lô:1805293330),Date 010520)'HSX:Terumo BCT' 'NSX:Mỹ",Bộ,5500000,19,104500000,0,0,0,0,19,104500000,3,2019,
22,BOKI02,"Bộ kít trao đổi  huyết tương Spectra Optia [Kít nhỏ]  [Bộ kít tách bạch cầu, tách tiểu cầu, tách huyết tương các loại, các cỡ](Lô:180316310),Date 010320)'HSX:Terumo BCT' 'NSX:Mỹ",Bộ,5500000,10,55000000,0,0,0,0,10,55000000,3,2019,
23,BOKI02,"Bộ kít trao đổi  huyết tương Spectra Optia [Kít nhỏ]  [Bộ kít tách bạch cầu, tách tiểu cầu, tách huyết tương các loại, các cỡ](Lô:1805173130),Date 010520)'HSX:Terumo BCT' 'NSX:Mỹ",Bộ,5500000,6,33000000,0,0,0,0,6,33000000,3,2019,
24,BOKI02,"Bộ kít trao đổi  huyết tương Spectra Optia [Kít nhỏ]  [Bộ kít tách bạch cầu, tách tiểu cầu, tách huyết tương các loại, các cỡ](Lô:1807183130),Date 010720)'HSX:Terumo BCT' 'NSX:Mỹ",Bộ,5500000,12,66000000,0,0,0,0,12,66000000,3,2019,
25,BOKI02,"Bộ kít trao đổi  huyết tương Spectra Optia [Kít nhỏ]  [Bộ kít tách bạch cầu, tách tiểu cầu, tách huyết tương các loại, các cỡ](Lô:1808093230),Date 010820)'HSX:Terumo BCT' 'NSX:Mỹ",Bộ,5500000,9,49500000,0,0,0,0,9,49500000,3,2019,
26,BOL001,"Bộ lọc (Màng lọc) bạch cầu - hồng cầu Terumo) (Lô:180702B3),Date 30062)'HSX:Terumo Co., Tokyo' 'NSX:Nhật",cái,630000,95,59850000,0,0,72,45360000,23,14490000,3,2019,
27,BOL001,"Bộ lọc (Màng lọc) bạch cầu - hồng cầu Terumo) (Lô:180828B2),Date 310721)'HSX:Terumo Co., Tokyo' 'NSX:Nhật",cái,630000,0,0,100,63000000,0,0,100,63000000,3,2019,
28,BOL002,"Bộ lọc (Màng lọc) bạch cầu - Tiểu cầu (Lô:180423B2),Date 010321)'HSX:Terumo BCT' 'NSX:Nhật",cái,670000,50,33500000,0,0,50,33500000,0,0,3,2019,
29,BOLO01,"Bộ lọc bạch cầu từ tiểu cầu (Lô:180807B2),Date 310721)'HSX:Terumo Co., Tokyo' 'NSX:Nhật",Cái,670000,85,56950000,100,67000000,91,60970000,94,62980000,3,2019,
30,BOO001,"Bộ ống cai chữ T máy giúp thở (Lô:),Date )'HSX:Không xác định' 'NSX:Việt Nam",bộ,99000,1,99000,0,0,0,0,1,99000,3,2019,
31,BOT001,"Bộ thay băng buồng tiêm dưới da (Lô:),Date )'HSX:Viên Phát' 'NSX:Việt Nam",bộ,33337.99,8107,270271114.14,0,0,629,20969597.94,7478,249301516.2,3,2019,
32,BOM006,"Bơm tiêm sử dụng một lần 50cc cho ăn Vikimco  [Bơm sử dụng để bơm thức ăn cho người bệnh các loại, các cỡ  ](Lô:),Date )'HSX:Công ty CP Dược phẩm Cửu Long' 'NSX:Việt Nam",cái,3990,134,534660,0,0,14,55860,120,478800,3,2019,
33,BOMT01,"Bơm tiêm vô trùng sử dụng một lần 10cc 23Gx1"" Vikimco  [Bơm tiêm (Syringe) dùng một lần các loại, các cỡ](Lô:B0619),Date 011221)'HSX:Công ty CP Dược phẩm Cửu Long' 'NSX:Việt Nam",Cái,825,10298,8495803.66,4800,3959978,9301,7673283.15,5797,4782498.51,3,2019,
34,BOMT03,"Bơm tiêm vô trùng sử dụng một lần 20cc 23Gx1"" Vikimco  [Bơm tiêm (Syringe) dùng một lần các loại, các cỡ](Lô:A0319),Date 010122)'HSX:Công ty CP Dược phẩm Cửu Long' 'NSX:Việt Nam",Cái,1450,6400,9279984,0,0,3349,4856041.63,3051,4423942.37,3,2019,
35,BOMT03,"Bơm tiêm vô trùng sử dụng một lần 20cc 23Gx1"" Vikimco  [Bơm tiêm (Syringe) dùng một lần các loại, các cỡ](Lô:K5118),Date 011121)'HSX:Công ty CP Dược phẩm Cửu Long' 'NSX:Việt Nam",Cái,1450,166,240699.59,0,0,166,240699.59,0,0,3,2019,
36,BOMT02,"Bơm tiêm vô trùng sử dụng một lần 5cc 23Gx1"" Vikimco  [Bơm tiêm (Syringe) dùng một lần các loại, các cỡ](Lô:A0319),Date 011121)'HSX:Công ty CP Dược phẩm Cửu Long' 'NSX:Việt Nam",Cái,564.99,26379.2,14904102.91,0,0,18788,10615116.67,7591.2,4288986.25,3,2019,
37,CAV001,"Cavafix Certo G14 8cm, G16 45cm (Lô:),Date )'HSX:B.Braun' 'NSX:Germany",cái,174090,2,348180,0,0,0,0,2,348180,3,2019,
38,CAY001,"Cây hướng dẫn (Đặt nội khí quản_Stylet) các số_6_10_14 (Lô:),Date )'HSX:Không xác định' 'NSX:Anh",cái,105000,20,2100000,0,0,6,630000,14,1470000,3,2019,
39,CAY001,"Cây hướng dẫn (Đặt nội khí quản_Stylet) các số_6_10_14 (Lô:),Date 011221)'HSX:Không xác định' 'NSX:Anh",cái,105000,0,0,30,3150000,0,0,30,3150000,3,2019,
40,CER003,"Certofix Duo V 720 (Lô:),Date )'HSX:B.Braun' 'NSX:Germany",cái,529755.5,17,9005843.5,0,0,0,0,17,9005843.5,3,2019,
41,CER004,"Certofix Trio V 720 (Lô:18F14A8551),Date 010623)'HSX:B.Braun' 'NSX:Germany",cái,578151,8,4625208,0,0,1,578151,7,4047057,3,2019,
42,CER004,"Certofix Trio V 720 (Lô:18H03A8551),Date 010823)'HSX:B.Braun' 'NSX:Germany",cái,578151,10,5781510,0,0,0,0,10,5781510,3,2019,
43,CHI001,"Chỉ tiêu (Chromic 3.0) (Lô:),Date )'HSX:Mebiphar' 'NSX:Việt Nam",tép,19425,12,233100,0,0,0,0,12,233100,3,2019,
44,DAY001,"Dây câu nối oxy 2m\ (Lô:),Date )'HSX:Không xác định' 'NSX:Việt Nam",sợi,4830,0,0,0,0,0,0,0,0,3,2019,
45,DAY001,"Dây câu nối oxy 2m\ (Lô:),Date )'HSX:Không xác định' 'NSX:Việt Nam",sợi,5250,0,0,30,157500,0,0,30,157500,3,2019,
46,DAY002,"Dây máy co giãn người lớn (Lô:),Date )'HSX:Không xác định' 'NSX:Việt Nam",cái,68250,23,1569750,0,0,0,0,23,1569750,3,2019,
47,DAY003,"Dây máy thở 2 bẫy nước (Người lớn) (Lô:17608003),Date 011120)'HSX:Besmed' 'NSX:Đài Loan",bộ,126500,18,2277000,0,0,3,379500,15,1897500,3,2019,
48,DAY004,"Dây nối bơm tiêm 30cm (Lô:010322),Date 190330)'HSX:Disposafe' 'NSX:India",cái,3150,0,0,600,1890000,0,0,600,1890000,3,2019,
49,DAY004,"Dây nối bơm tiêm 30cm (Lô:011022),Date 190074)'HSX:Disposafe' 'NSX:India",cái,3150,600,1890000,0,0,600,1890000,0,0,3,2019,
50,DAY004,"Dây nối bơm tiêm 30cm (Lô:190074),Date 010122)'HSX:Disposafe' 'NSX:India",cái,3150,186,585900,600,1890000,786,2475900,0,0,3,2019,
51,DAY004,"Dây nối bơm tiêm 30cm (Lô:190330),Date 010322)'HSX:Disposafe' 'NSX:India",cái,3150,0,0,600,1890000,18,56700,582,1833300,3,2019,
52,DAY005,"Dây nối bơm tiêm điện 140cm (Lô:),Date )'HSX:Perfect' 'NSX:Việt Nam",cái,5943,153,909279,0,0,74,439782,79,469497,3,2019,
53,DAY005,"Dây nối bơm tiêm điện 140cm (Lô:181037),Date 010921)'HSX:Perfect' 'NSX:Việt Nam",cái,5943,200,1188600,0,0,0,0,200,1188600,3,2019,
54,DAY007,"Dây thở oxy 2 nhánh các size (Lô:),Date )'HSX:Greatmed' 'NSX:CHINA",sợi,3828,327,1251754.37,0,0,132,505295.34,195,746459.03,3,2019,
55,DAY007,"Dây thở oxy 2 nhánh các size (Lô:),Date )'HSX:Greatmed' 'NSX:CHINA",sợi,4200,0,0,100,420000,0,0,100,420000,3,2019,
56,DAY006,"Dây thở oxy 2 nhánh trẻ em (Lô:),Date )'HSX:Greatmed' 'NSX:CHINA",sợi,3828,100,382799.5,0,0,0,0,100,382799.5,3,2019,
