"","ma","thuoc","ThuongMai","dvt","hoatchat","nhomBD","nhomdieutri","tondauky_sl","tondauky_thanhtien","nhaptrongky_sl","nhaptrongky_thanhtien","xuattrongky_sl","xuattrongky_thanhtien","toncuoiky_sl","toncuoiky_thanhtien","thang","nam"
"688",NA,"aldactone(spironolacton), 25mg,viên (olic ,tháilan)","aldacton_olic","vien","spironolacton_25",1,31,5677,11212075,9000,17774999.54,5750,11356249.8,8927,17630824.74,8,2014
"689",NA,"aldactone(spironolacton), 25mg,viên (olic ,tháilan)","aldacton_olic","vien","spironolacton_25",1,31,8927,17630824.74,5000,9874999.58,4971,9817725,8956,17688099.32,9,2014
"690",NA,"aldactone(spironolacton), 25mg,viên (olic ,tháilan)","aldacton_olic","vien","spironolacton_25",1,31,8956,17688099.32,6000,11849999,5058,9989549.32,9898,19548549,10,2014
"691",NA,"aldactone(spironolacton), 25mg,viên (olic ,tháilan)","aldacton_olic","vien","spironolacton_25",1,31,9898,19548549,5000,9875000,5442,10747949,9456,18675600,11,2014
"692","ALEX01","Alexan (500mg) 50mg/ml [Cytarabin](Lô:),Date )'HSX:Ebewe Pharma Ges.m.b.H.N fg.KG' 'NSX:Áo","Alexan","lo","cytarabin_500",1,18,0,0,300,55499998,296,54759998.0266667,4,739999.973333333,12,2018
"693","ALEX01","Alexan (500mg) 50mg/ml [Cytarabin](Lô:),Date )'HSX:Ebewe Pharma Ges.m.b.H.N fg.KG' 'NSX:Áo","Alexan","lo","cytarabin_500",1,18,0,0,200,36999999,200,36999999,0,0,12,2018
"694","ALEX01","Alexan (500mg) 50mg/ml [Cytarabin](Lô:),Date )'HSX:Ebewe Pharma Ges.m.b.H.N fg.KG' 'NSX:Áo","Alexan","lo","cytarabin_500",1,18,0,0,45,8325000,30,5550000,15,2775000,12,2018
"695","AleT1","alexan_, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,4,2017
"696","AleT1","alexan_, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo) ,","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,4,564900,0,0,6,2017
"697","AleT1","alexan, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,3,2016
"698","AleT1","alexan, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,4,2016
"699","AleT1","alexan, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,5,2016
"700","AleT1","alexan, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,6,2016
"701","AleT1","alexan, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,7,2016
"702","AleT1","alexan, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,8,2016
"703","AleT1","alexan, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,9,2016
"704","AleT1","alexan, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,10,2016
"705","AleT1","alexan, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,11,2016
"706","AleT1","alexan, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,12,2016
"707","AleT1","alexan, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,1,2017
"708","AleT1","alexan, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,2,2017
"709","AleT1","alexan, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,3,2017
"710","AleT1","alexan, 500mg,lọ (ebewe pharma ges.m.b.h.nfg.kg,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,5,2017
"711",NA,"alexan, 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,12,2014
"712","AleT1","alexan, 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,1,2015
"713","AleT1","alexan, 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,2,2015
"714","AleT1","alexan, 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,3,2015
"715","AleT1","alexan, 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,4,2015
"716","AleT1","alexan, 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,5,2015
"717","AleT1","alexan, 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,6,2015
"718","AleT1","alexan, 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,7,2015
"719","AleT1","alexan, 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,8,2015
"720","AleT1","alexan, 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,9,2015
"721","AleT1","alexan, 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,10,2015
"722","AleT1","alexan, 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,11,2015
"723","AleT1","alexan, 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,12,2015
"724","AleT1","alexan, 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,1,2016
"725","AleT1","alexan, 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,4,564900,0,0,0,0,4,564900,2,2016
"726",NA,"alexan(cytarabin), 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,0,0,16,2259600,0,0,16,2259600,4,2014
"727",NA,"alexan(cytarabin), 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,16,2259600,0,0,0,0,16,2259600,5,2014
"728",NA,"alexan(cytarabin), 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,16,2259600,0,0,0,0,16,2259600,6,2014
"729",NA,"alexan(cytarabin), 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,16,2259600,0,0,0,0,16,2259600,7,2014
"730",NA,"alexan(cytarabin), 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,16,2259600,0,0,0,0,16,2259600,8,2014
"731",NA,"alexan(cytarabin), 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,16,2259600,0,0,0,0,16,2259600,9,2014
"732",NA,"alexan(cytarabin), 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,16,2259600,0,0,0,0,16,2259600,10,2014
"733",NA,"alexan(cytarabin), 500mg,lọ (ebewe,áo)","Alexan","lo","cytarabin_500",1,18,16,2259600,0,0,12,1694700,4,564900,11,2014
"734",NA,"alkeran (melphalan), 50mg,ống (glaxosmithkline,italy)","alkeran","ong","melphalan_50",1,18,61,579499999,0,0,7,66500000,54,512999999,1,2014
"735",NA,"alkeran (melphalan), 50mg,ống (glaxosmithkline,italy)","alkeran","ong","melphalan_50",1,18,54,512999999,0,0,0,0,54,512999999,2,2014
"736",NA,"alkeran (melphalan), 50mg,ống (glaxosmithkline,italy)","alkeran","ong","melphalan_50",1,18,54,512999999,0,0,0,0,54,512999999,3,2014
"737",NA,"alkeran (melphalan), 50mg,ống (glaxosmithkline,italy)","alkeran","ong","melphalan_50",1,18,54,512999999,0,0,11,104500000,43,408499999,4,2014
"738",NA,"alkeran (melphalan), 50mg,ống (glaxosmithkline,italy)","alkeran","ong","melphalan_50",1,18,43,408499999,0,0,0,0,43,408499999,5,2014
"739",NA,"alkeran (melphalan), 50mg,ống (glaxosmithkline,italy)","alkeran","ong","melphalan_50",1,18,43,408499999,0,0,16,151999999.81,27,256499999.19,6,2014
"740",NA,"alkeran (melphalan), 50mg,ống (glaxosmithkline,italy)","alkeran","ong","melphalan_50",1,18,27,256499999.19,0,0,0,0,27,256499999.19,7,2014
"741",NA,"alkeran (melphalan), 50mg,ống (glaxosmithkline,italy)","alkeran","ong","melphalan_50",1,18,27,256499999.19,0,0,15,142499999.55,12,113999999.64,8,2014
"742",NA,"alkeran (melphalan), 50mg,ống (glaxosmithkline,italy)","alkeran","ong","melphalan_50",1,18,12,113999999.64,0,0,12,113999999.64,0,0,9,2014
"743","ALK001","Alkeran 50mg [Melphalan](Lô:),Date )'HSX:GlaxoSmithKline' 'NSX:Italy","alkeran","lo","melphalan_50",1,18,38,3.61e+08,0,0,13,123500000,25,237500000,12,2018
"744","ALK001","Alkeran 50mg [Melphalan](Lô:C46RC385),Date 010819)'HSX:GlaxoSmithKline' 'NSX:Italy","alkeran","lo","melphalan_50",1,18,0,0,20,1.9e+08,0,0,20,1.9e+08,10,2018
"745","ALK001","Alkeran 50mg [Melphalan](Lô:C46RC385),Date 010819)'HSX:GlaxoSmithKline' 'NSX:Italy","alkeran","lo","melphalan_50",1,18,20,1.9e+08,0,0,0,0,20,1.9e+08,11,2018
"746","ALK001","Alkeran 50mg [Melphalan](Lô:CA6RC38T),Date 310819)'HSX:GlaxoSmithKline' 'NSX:Italy","alkeran","lo","melphalan_50",1,18,0,0,50,4.75e+08,0,0,50,4.75e+08,8,2018
"747","ALK001","Alkeran 50mg [Melphalan](Lô:CA6RC38T),Date 310819)'HSX:GlaxoSmithKline' 'NSX:Italy","alkeran","lo","melphalan_50",1,18,50,4.75e+08,0,0,6,5.7e+07,44,4.18e+08,9,2018
"748","ALK001","Alkeran 50mg [Melphalan](Lô:CA6RC38T),Date 310819)'HSX:GlaxoSmithKline' 'NSX:Italy","alkeran","lo","melphalan_50",1,18,44,4.18e+08,0,0,20,1.9e+08,24,2.28e+08,10,2018
"749","ALK001","Alkeran 50mg [Melphalan](Lô:CA6RC38T),Date 310819)'HSX:GlaxoSmithKline' 'NSX:Italy","alkeran","lo","melphalan_50",1,18,24,2.28e+08,0,0,6,5.7e+07,18,1.71e+08,11,2018
"750","AlkT3","alkeran_, 50mg
 ,lọ (glaxosmithkline,italy) q5437503, 01/11/2018","alkeran","lo","melphalan_50",1,18,0,0,50,4.75e+08,0,0,50,4.75e+08,1,2018
"751","AlkT3","alkeran_, 50mg
 ,lọ (glaxosmithkline,italy) q5437503, 01/11/2018","alkeran","lo","melphalan_50",1,18,50,4.75e+08,0,0,0,0,50,4.75e+08,2,2018
"752","AlkT3","alkeran_, 50mg
 ,lọ (glaxosmithkline,italy) q5437503, 01/11/2018","alkeran","lo","melphalan_50",1,18,50,4.75e+08,0,0,11,104500000,39,370500000,3,2018
"753","AlkT3","alkeran_, 50mg
 ,lọ (glaxosmithkline,italy) q5437503, 01/11/2018","alkeran","lo","melphalan_50",1,18,39,370500000,0,0,13,123500000,26,2.47e+08,4,2018
"754","AlkT3","alkeran_, 50mg
 ,lọ (glaxosmithkline,italy) q5437503, 01/11/2018","alkeran","lo","melphalan_50",1,18,26,2.47e+08,0,0,20,1.9e+08,6,5.7e+07,5,2018
"755","AlkT3","alkeran_, 50mg
 ,lọ (glaxosmithkline,italy) q5437503, 01/11/2018","alkeran","lo","melphalan_50",1,18,6,5.7e+07,0,0,6,5.7e+07,0,0,6,2018
"756",NA,"alkeran, 2mg,viên (aspen,pháp)","alkeran","vien","melphalan_20",1,18,2,19999.98,0,0,2,19999.98,0,0,12,2014
"757","ALKT2","alkeran, 50mg,lọ (glaxosmithkline,italy) q4307052, 01/06/2018","alkeran","lo","melphalan_50",1,18,14,1.33e+08,30,2.85e+08,5,47500000,39,370500000,6,2017
"758","ALKT2","alkeran, 50mg,lọ (glaxosmithkline,italy) q4307052, 01/06/2018","alkeran","lo","melphalan_50",1,18,39,370500000,0,0,17,161500000,22,2.09e+08,7,2017
"759","ALKT2","alkeran, 50mg,lọ (glaxosmithkline,italy) q5437503, 01/11/2018","alkeran","lo","melphalan_50",1,18,22,2.09e+08,50,4.75e+08,0,0,72,6.84e+08,8,2017
"760","ALKT2","alkeran, 50mg,lọ (glaxosmithkline,italy) q5437503, 01/11/2018","alkeran","lo","melphalan_50",1,18,72,6.84e+08,0,0,16,1.52e+08,56,5.32e+08,9,2017
"761","ALKT2","alkeran, 50mg,lọ (glaxosmithkline,italy) q5437503, 01/11/2018","alkeran","lo","melphalan_50",1,18,56,5.32e+08,0,0,13,123500000,43,408500000,10,2017
"762","ALKT2","alkeran, 50mg,lọ (glaxosmithkline,italy) q5437503, 01/11/2018","alkeran","lo","melphalan_50",1,18,43,408500000,0,0,17,161500000,26,2.47e+08,11,2017
"763","ALKT2","alkeran, 50mg,lọ (glaxosmithkline,italy) q5437503, 01/11/2018","alkeran","lo","melphalan_50",1,18,26,2.47e+08,0,0,14,1.33e+08,12,1.14e+08,12,2017
"764","ALKT2","alkeran, 50mg,lọ (glaxosmithkline,italy) q5437503, 01/11/2018","alkeran","lo","melphalan_50",1,18,12,1.14e+08,0,0,6,5.7e+07,6,5.7e+07,1,2018
"765","ALKT2","alkeran, 50mg,lọ (glaxosmithkline,italy) q5437503, 01/11/2018","alkeran","lo","melphalan_50",1,18,6,5.7e+07,0,0,0,0,6,5.7e+07,2,2018
"766","ALKT2","alkeran, 50mg,lọ (glaxosmithkline,italy) q5437503, 01/11/2018","alkeran","lo","melphalan_50",1,18,6,5.7e+07,0,0,6,5.7e+07,0,0,3,2018
"767","ALKT2","alkeran, 50mg,ống (glaxosmithkline,italy)","alkeran","ong","melphalan_50",1,18,0,0,20,1.9e+08,6,5.7e+07,14,1.33e+08,5,2017
"768",NA,"alkeran(melphalan), 2mg,viên (aspen,pháp)","alkeran","vien","melphalan_2",1,18,2,19999.98,0,0,0,0,2,19999.98,1,2014
"769",NA,"alkeran(melphalan), 2mg,viên (aspen,pháp)","alkeran","vien","melphalan_2",1,18,2,19999.98,0,0,0,0,2,19999.98,2,2014
"770",NA,"alkeran(melphalan), 2mg,viên (aspen,pháp)","alkeran","vien","melphalan_2",1,18,2,19999.98,0,0,0,0,2,19999.98,3,2014
"771",NA,"alkeran(melphalan), 2mg,viên (aspen,pháp)","alkeran","vien","melphalan_2",1,18,2,19999.98,0,0,0,0,2,19999.98,4,2014
"772",NA,"alkeran(melphalan), 2mg,viên (aspen,pháp)","alkeran","vien","melphalan_2",1,18,2,19999.98,0,0,0,0,2,19999.98,5,2014
"773",NA,"alkeran(melphalan), 2mg,viên (aspen,pháp)","alkeran","vien","melphalan_2",1,18,2,19999.98,0,0,0,0,2,19999.98,6,2014
"774",NA,"alkeran(melphalan), 2mg,viên (aspen,pháp)","alkeran","vien","melphalan_2",1,18,2,19999.98,0,0,0,0,2,19999.98,7,2014
"775",NA,"alkeran(melphalan), 2mg,viên (aspen,pháp)","alkeran","vien","melphalan_2",1,18,2,19999.98,0,0,0,0,2,19999.98,8,2014
"776",NA,"alkeran(melphalan), 2mg,viên (aspen,pháp)","alkeran","vien","melphalan_2",1,18,2,19999.98,0,0,0,0,2,19999.98,9,2014
"777",NA,"alkeran(melphalan), 2mg,viên (aspen,pháp)","alkeran","vien","melphalan_2",1,18,2,19999.98,0,0,0,0,2,19999.98,10,2014
"778",NA,"alkeran(melphalan), 2mg,viên (aspen,pháp)","alkeran","vien","melphalan_2",1,18,2,19999.98,0,0,0,0,2,19999.98,11,2014
"779",NA,"allopurinol (zuryk), 300mg,viên (davi pharm,việt nam)","zuryk","vien","allopurinol",2,2,0,0,5000,1850000,39,14430,4961,1835570,5,2014
"780",NA,"allopurinol (zuryk), 300mg,viên (davi pharm,việt nam)","zuryk","vien","allopurinol",2,2,4961,1835570,0,0,2628,972360,2333,863210,6,2014
"781",NA,"allopurinol (zuryk), 300mg,viên (davi pharm,việt nam)","zuryk","vien","allopurinol",2,2,2333,863210,5000,1849995,3278,1212855,4055,1500350,7,2014
"782",NA,"allopurinol (zuryk), 300mg,viên (davi pharm,việt nam)","zuryk","vien","allopurinol",2,2,4055,1500350,10000,3699990,3556,1315720,10499,3884620,8,2014
"783",NA,"allopurinol (zuryk), 300mg,viên (davi pharm,việt nam)","zuryk","vien","allopurinol",2,2,10499,3884620,5000,1849995,3252,1203230,12247,4531385,9,2014
"784",NA,"allopurinol (zuryk), 300mg,viên (davi pharm,việt nam)","zuryk","vien","allopurinol",2,2,12247,4531385,0,0,3633,1344210,8614,3187175,10,2014
"785",NA,"allopurinol (zuryk), 300mg,viên (davi pharm,việt nam)","zuryk","vien","allopurinol",2,2,8614,3187175,3000,1109997,3244,1200280,8370,3096892,11,2014
"786",NA,"allopurinol, 300mg,viên (domesco,việt nam)","allopurinol_domes","vien","allopurinol",2,2,5646,2483957.7,3000,1319850,4003,1761119.85,4643,2042687.85,1,2014
"787",NA,"allopurinol, 300mg,viên (domesco,việt nam)","allopurinol_domes","vien","allopurinol",2,2,4643,2042687.85,6000,2639700,2748,1208982.6,7895,3473405.25,2,2014
"788",NA,"allopurinol, 300mg,viên (domesco,việt nam)","allopurinol_domes","vien","allopurinol",2,2,7895,3473405.25,0,0,3398,1494950.1,4497,1978455.15,3,2014
"789",NA,"allopurinol, 300mg,viên (domesco,việt nam)","allopurinol_domes","vien","allopurinol",2,2,4497,1978455.15,1000,439950,3638,1600538.1,1859,817867.05,4,2014
"790",NA,"allopurinol, 300mg,viên (domesco,việt nam)","allopurinol_domes","vien","allopurinol",2,2,1859,817867.05,1000,439950,2714,1194024.3,145,63792.75,5,2014
"791",NA,"allopurinol, 300mg,viên (domesco,việt nam)","allopurinol_domes","vien","allopurinol",2,2,145,63792.75,0,0,144,63352.8,1,439.950000000004,6,2014
"792",NA,"allopurinol, 300mg,viên (domesco,việt nam)","allopurinol_domes","vien","allopurinol",2,2,1,439.95,0,0,0,0,1,439.95,7,2014
"793",NA,"allopurinol, 300mg,viên (domesco,việt nam)","allopurinol_domes","vien","allopurinol",2,2,1,439.95,0,0,0,0,1,439.95,8,2014
"794",NA,"allopurinol, 300mg,viên (domesco,việt nam)","allopurinol_domes","vien","allopurinol",2,2,1,439.95,0,0,0,0,1,439.95,9,2014
"795",NA,"allopurinol, 300mg,viên (domesco,việt nam)","allopurinol_domes","vien","allopurinol",2,2,1,439.95,0,0,0,0,1,439.95,10,2014
"796",NA,"allopurinol, 300mg,viên (domesco,việt nam)","allopurinol_domes","vien","allopurinol",2,2,1,439.95,0,0,0,0,1,439.95,11,2014
"797",NA,"allopurinol, 300mg,viên (domesco,việt nam)","allopurinol_domes","vien","allopurinol",2,2,1,439.95,0,0,1,439.95,0,0,12,2014
"798","AloT1","aloxi
_, 0,25mg
 ,lọ (helsinn birex pharmaceuticals ltd,ireland)","aloxi","lo","palonosetron_0,25",1,33,0,0,5,8332500,0,0,5,8332500,4,2017
"799","AloT1","aloxi
_, 0,25mg
 ,lọ (helsinn birex pharmaceuticals ltd,ireland)","aloxi","lo","palonosetron_0,25",1,33,5,8332500,10,16665000,4,6666000,11,18331500,5,2017
"800","AloT1","aloxi
_, 0,25mg
 ,lọ (helsinn birex pharmaceuticals ltd,ireland) 34001463, 30/10/2021","aloxi","lo","palonosetron_0,25",1,33,9,14998500,0,0,3,4999500,6,9999000,7,2017
"801","AloT1","aloxi
_, 0,25mg
 ,lọ (helsinn birex pharmaceuticals ltd,ireland) 37000014, 31/07/2021","aloxi","lo","palonosetron_0,25",1,33,11,18331500,0,0,2,3333000,9,14998500,6,2017
"802","AloT1","aloxi
_, 0,25mg
 ,lọ (helsinn birex pharmaceuticals ltd,ireland) 37001612, 31/12/2021","aloxi","lo","palonosetron_0,25",1,33,6,9999000,10,16665000,5,8332500,11,18331500,8,2017
"803","AloT1","aloxi
_, 0,25mg
 ,lọ (helsinn birex pharmaceuticals ltd,ireland) 37001612, 31/12/2021","aloxi","lo","palonosetron_0,25",1,33,11,18331500,0,0,1,1666500,10,16665000,9,2017
"804","AloT1","aloxi
_, 0,25mg
 ,lọ (helsinn birex pharmaceuticals ltd,ireland) 37001612, 31/12/2021","aloxi","lo","palonosetron_0,25",1,33,10,16665000,0,0,3,4999500,7,11665500,10,2017
"805","AloT1","aloxi
_, 0,25mg
 ,lọ (helsinn birex pharmaceuticals ltd,ireland) 37001612, 31/12/2021","aloxi","lo","palonosetron_0,25",1,33,7,11665500,0,0,0,0,7,11665500,11,2017
"806","AloT1","aloxi
_, 0,25mg
 ,lọ (helsinn birex pharmaceuticals ltd,ireland) 37001612, 31/12/2021","aloxi","lo","palonosetron_0,25",1,33,7,11665500,0,0,0,0,7,11665500,12,2017
"807","AloT1","aloxi
_, 0,25mg
 ,lọ (helsinn birex pharmaceuticals ltd,ireland) 37001612, 31/12/2021","aloxi","lo","palonosetron_0,25",1,33,7,11665500,0,0,1,1666500,6,9999000,1,2018
"808","AloT1","aloxi
_, 0,25mg
 ,lọ (helsinn birex pharmaceuticals ltd,ireland) 37001612, 31/12/2021","aloxi","lo","palonosetron_0,25",1,33,6,9999000,0,0,0,0,6,9999000,2,2018
"809","AloT1","aloxi
_, 0,25mg
 ,lọ (helsinn birex pharmaceuticals ltd,ireland) 37001612, 31/12/2021","aloxi","lo","palonosetron_0,25",1,33,6,9999000,0,0,0,0,6,9999000,3,2018
"810","AloT1","aloxi
_, 0,25mg
 ,lọ (helsinn birex pharmaceuticals ltd,ireland) 37001612, 31/12/2021","aloxi","lo","palonosetron_0,25",1,33,6,9999000,0,0,1,1666500,5,8332500,4,2018
"811","AloT1","aloxi
_, 0,25mg
 ,lọ (helsinn birex pharmaceuticals ltd,ireland) 37001612, 31/12/2021","aloxi","lo","palonosetron_0,25",1,33,5,8332500,0,0,0,0,5,8332500,5,2018
"812","AloT1","aloxi
, 0,25mg
 ,lọ (helsinn birex pharmaceuticals ltd,ireland) 37001612, 31/12/2021","aloxi","lo","palonosetron_0,25",1,33,5,8332500,0,0,0,0,5,8332500,6,2018
"813","ALO002","Aloxi 0,25mg/5ml [Palonosetron hydroclorid](Lô:),Date )'HSX:Helsinn Birex Pharmaceuticals Ltd' 'NSX:Ireland","aloxi","lo","palonosetron_0,25",1,33,20,33330000,0,0,0,0,20,33330000,12,2018
"814","ALO001","Aloxi 0,25mg/5ml [Palonosetron hydroclorid](Lô:),Date )'HSX:Helsinn Birex Pharmaceuticals Ltd' 'NSX:Ireland","aloxi","lo","palonosetron_0,25",1,33,4,6666000,0,0,0,0,4,6666000,12,2018
"815","ALO001","Aloxi 0,25mg/5ml [Palonosetron hydroclorid](Lô:37001612),Date 311221)'HSX:Helsinn Birex Pharmaceuticals Ltd' 'NSX:Ireland","aloxi","lo","palonosetron_0,25",1,33,5,8332500,0,0,0,0,5,8332500,7,2018
"816","ALO001","Aloxi 0,25mg/5ml [Palonosetron hydroclorid](Lô:37001612),Date 311221)'HSX:Helsinn Birex Pharmaceuticals Ltd' 'NSX:Ireland","aloxi","lo","palonosetron_0,25",1,33,5,8332500,0,0,1,1666500,4,6666000,8,2018
"817","ALO001","Aloxi 0,25mg/5ml [Palonosetron hydroclorid](Lô:37001612),Date 311221)'HSX:Helsinn Birex Pharmaceuticals Ltd' 'NSX:Ireland","aloxi","lo","palonosetron_0,25",1,33,4,6666000,0,0,0,0,4,6666000,9,2018
"818","ALO001","Aloxi 0,25mg/5ml [Palonosetron hydroclorid](Lô:37001612),Date 311221)'HSX:Helsinn Birex Pharmaceuticals Ltd' 'NSX:Ireland","aloxi","lo","palonosetron_0,25",1,33,4,6666000,0,0,0,0,4,6666000,10,2018
"819","ALO001","Aloxi 0,25mg/5ml [Palonosetron hydroclorid](Lô:37001612),Date 311221)'HSX:Helsinn Birex Pharmaceuticals Ltd' 'NSX:Ireland","aloxi","lo","palonosetron_0,25",1,33,4,6666000,0,0,0,0,4,6666000,11,2018
"820","ALO002","Aloxi 0,25mg/5ml [Palonosetron hydroclorid](Lô:37002582),Date 300422)'HSX:Helsinn Birex Pharmaceuticals Ltd' 'NSX:Ireland","aloxi","lo","palonosetron_0,25",1,33,0,0,20,33330000,0,0,20,33330000,7,2018
"821","ALO002","Aloxi 0,25mg/5ml [Palonosetron hydroclorid](Lô:37002582),Date 300422)'HSX:Helsinn Birex Pharmaceuticals Ltd' 'NSX:Ireland","aloxi","lo","palonosetron_0,25",1,33,20,33330000,0,0,0,0,20,33330000,8,2018
"822","ALO002","Aloxi 0,25mg/5ml [Palonosetron hydroclorid](Lô:37002582),Date 300422)'HSX:Helsinn Birex Pharmaceuticals Ltd' 'NSX:Ireland","aloxi","lo","palonosetron_0,25",1,33,20,33330000,0,0,0,0,20,33330000,9,2018
"823","ALO002","Aloxi 0,25mg/5ml [Palonosetron hydroclorid](Lô:37002582),Date 300422)'HSX:Helsinn Birex Pharmaceuticals Ltd' 'NSX:Ireland","aloxi","lo","palonosetron_0,25",1,33,20,33330000,0,0,0,0,20,33330000,10,2018
"824","ALO002","Aloxi 0,25mg/5ml [Palonosetron hydroclorid](Lô:37002582),Date 300422)'HSX:Helsinn Birex Pharmaceuticals Ltd' 'NSX:Ireland","aloxi","lo","palonosetron_0,25",1,33,20,33330000,0,0,0,0,20,33330000,11,2018
"825","AloT","aloxi, 0,25mg,lọ (helsinn birex pharmaceuticals ltd,ireland)","aloxi","lo","palonosetron_0,25",1,33,9,14998500,0,0,0,0,9,14998500,3,2016
"826","AloT","aloxi, 0,25mg,lọ (helsinn birex pharmaceuticals ltd,ireland)","aloxi","lo","palonosetron_0,25",1,33,9,14998500,0,0,1,1666500,8,13332000,4,2016
"827","AloT","aloxi, 0,25mg,lọ (helsinn birex pharmaceuticals ltd,ireland)","aloxi","lo","palonosetron_0,25",1,33,8,13332000,0,0,1,1666500,7,11665500,5,2016
"828","AloT","aloxi, 0,25mg,lọ (helsinn birex pharmaceuticals ltd,ireland)","aloxi","lo","palonosetron_0,25",1,33,7,11665500,0,0,0,0,7,11665500,6,2016
"829","AloT","aloxi, 0,25mg,lọ (helsinn birex pharmaceuticals ltd,ireland)","aloxi","lo","palonosetron_0,25",1,33,7,11665500,0,0,0,0,7,11665500,7,2016
"830","AloT","aloxi, 0,25mg,lọ (helsinn birex pharmaceuticals ltd,ireland)","aloxi","lo","palonosetron_0,25",1,33,7,11665500,0,0,7,11665500,0,0,8,2016
"831","AloT","aloxi, 0,25mg,lọ (pharmachemie,iceland)","aloxi","lo","palonosetron_0,25",1,33,0,0,10,16665000,1,1666500,9,14998500,12,2015
"832","AloT","aloxi, 0,25mg,lọ (pharmachemie,iceland)","aloxi","lo","palonosetron_0,25",1,33,9,14998500,0,0,0,0,9,14998500,1,2016
